"set","dropped","est","se","se_change_pct","est_change","ctrl_pred_shift_treated","ctrl_pred_sensitivity_pct","t_treated","t_control","z_ps"
"full (all 10)","",1.49489719527826,0.677917391808732,0,0,NA,NA,NA,NA,NA
"drop age","age",1.56261823288988,0.667227651790016,-1.57684994482807,0.0677210376116191,0.571792887068564,0.844771274033092,0.674398409485417,15.9041155197988,1.6827625809011
"drop education","education",1.50973346131375,0.677276981919086,-0.094467245918628,0.0148362660354904,0.082953385597653,0.122555979309139,1.4166577039247,6.11461007832938,0.401052828713532
"drop black","black",0.313585187542274,0.618184996795016,-8.81116132075397,-1.18131200773598,0.419935290639528,0.620415675864245,0.303216234913627,3.75295472411483,16.319501832534
"drop hispanic","hispanic",1.4987060604689,0.677305696290947,-0.0902315717484448,0.00380886519064605,0.00257875044942743,0.003809866040385,0.420277268862151,1.06148054126836,4.66327160762551
"drop married","married",1.57552517537248,0.672853963158537,-0.746909389163886,0.0806279800942211,0.005060953711759,0.00747709251303173,0.602142637970269,1.11596632203975,4.11992190958403
"drop nodegree","nodegree",1.510893601806,0.670938202844317,-1.02950433913397,0.0159964065277385,0.0187562282738303,0.0277105980386901,0.434954480517898,2.09255616636265,3.28180475584741
"drop re74k","re74k",1.53222574552465,0.674880492645683,-0.447974812232765,0.0373285502463903,1.0998935928881,1.62499137848404,1.62749974137037,22.8458938804181,2.19743234733163
"drop re75k","re75k",0.962216966813452,0.70915393959766,4.60772185023719,-0.532680228464806,2.71139491840789,4.00583601410843,0.0458168873309392,34.104525278288,4.92331359853763
"drop u74","u74",1.30974920248994,0.663148242210471,-2.17860609223419,-0.185147992788313,0.00586355456863344,0.00866286128304542,3.18902515078579,0.880154885647974,5.95648029321423
"drop u75","u75",1.4666656226,0.671378080441618,-0.9646177316186,-0.0282315726782578,0.390925785842517,0.577556807066351,2.19170088346978,6.8763919172808,0.983902086916378
