"design","n","set","R","seed","bias","bias_mcse","sd","sd_mcse","rmse","se_ratio","cov95","cov_mcse","var_rel_Z","var_rel_Z_mcse","n_var_over_V","V_exact","bound_ratio_exact"
"A: rare treatment (e<1/2)",500,"Z",1000,2026,0.00128021392859173,0.00367054913177953,0.116072955199769,0.0025967688909637,0.116021967512974,0.970237429210489,0.942,0.00739161687318817,1,0,1.06093533584699,6.34955330149856,1
"A: rare treatment (e<1/2)",500,"ZW",1000,2026,0.00203629284505646,0.00397933073852937,0.125837486968728,0.00281521971173258,0.125791035221231,0.957412701327836,0.944,0.00727076337120113,1.17532504324998,0.0452602704575431,1.09292259604234,7.24437082001336,1.1409260582636
"A: rare treatment (e<1/2)",500,"ZI",1000,2026,0.00197645112259032,0.00385458563117654,0.121892700306756,0.00272696746324226,0.121847769436804,0.961704453768184,0.941,0.00745110730026082,1.10279125355746,0.0188058012172251,1.09098069003764,6.80939201021059,1.07242063919733
"A: rare treatment (e<1/2)",500,"ZWI",1000,2026,0.00274035177760584,0.00408467663715844,0.129168816786978,0.00288974778438038,0.129133296150849,0.956990596221847,0.941,0.00745110730026082,1.23837814639674,0.0493739208909755,1.10660027272835,7.53866759358906,1.18727526734989
"A: rare treatment (e<1/2)",2000,"Z",1000,2026,-0.0034803379587012,0.00174435861645313,0.0551614628413196,0.00123406499334717,0.0552436145461018,1.02135260690962,0.959,0.00627048642451286,1,0,0.958425526430704,6.34955330149856,1
"A: rare treatment (e<1/2)",2000,"ZW",1000,2026,-0.00381140035445743,0.00190712734671814,0.0603086620362298,0.00134921745691573,0.060398877096727,0.998524718995692,0.958,0.00634318531969546,1.19533005010429,0.0453508675019489,1.004127151126,7.24437082001336,1.1409260582636
"A: rare treatment (e<1/2)",2000,"ZI",1000,2026,-0.00318504019062005,0.00178919570450941,0.0565793360603933,0.00126578546656407,0.0566406614437169,1.03214796387149,0.959,0.00627048642451286,1.05206880637275,0.0175287430340782,0.940237032685072,6.80939201021059,1.07242063919733
"A: rare treatment (e<1/2)",2000,"ZWI",1000,2026,-0.00383271291109449,0.00192657696571105,0.0609237129926303,0.00136297729603751,0.0610137426672258,1.00947509501249,0.96,0.00619677335393187,1.21983524505545,0.0455209050814753,0.984709501706868,7.53866759358906,1.18727526734989
"B: common treatment (e>1/2)",500,"Z",1000,2026,-0.00294798652464059,0.00417182523481267,0.131924697421748,0.00295140198356281,0.131891668761068,1.00318212605025,0.952,0.00675988165576884,1,0,0.99153904118735,8.77631896822673,1
"B: common treatment (e>1/2)",500,"ZW",1000,2026,0.000253634865629515,0.00376940749932917,0.119199131271998,0.00266670729098176,0.11913978677901,0.990555112559197,0.946,0.00714730718522718,0.816383027081425,0.0313309259495201,1.02718449696114,6.91620294992461,0.788052824306367
"B: common treatment (e>1/2)",500,"ZI",1000,2026,-0.00275299469398707,0.00449241796219933,0.142062729620021,0.00317820870682366,0.142018366093013,0.992560158064425,0.946,0.00714730718522718,1.15959970588676,0.0306243030358317,1.00819684705634,10.008868409982,1.14044036528498
"B: common treatment (e>1/2)",500,"ZWI",1000,2026,-0.000631777389498045,0.00409718167983398,0.129564260957902,0.00289859460937419,0.129501003712402,0.95337287530388,0.935,0.0077958322198467,0.964535531419016,0.0451249924985233,1.08934603185202,7.70503459264797,0.877934658088753
"B: common treatment (e>1/2)",2000,"Z",1000,2026,-0.00153588053101611,0.00205812344845341,0.0650835780291294,0.00145604124964149,0.0650691569482059,1.01829463132391,0.954,0.00662449998113065,1,0,0.965295847703137,8.77631896822673,1
"B: common treatment (e>1/2)",2000,"ZW",1000,2026,-0.000520211085009437,0.00183186524030179,0.0579286652584534,0.00129597248195591,0.0579020306029097,1.01615116966115,0.947,0.00708456067798138,0.792217082190279,0.03133200371715,0.970396699727421,6.91620294992461,0.788052824306367
"B: common treatment (e>1/2)",2000,"ZI",1000,2026,-0.00352203037148924,0.00221454136190371,0.0700299467626696,0.00156670076053605,0.0700834784244935,1.01089084595485,0.957,0.00641490451994416,1.15777655560502,0.0242931553653977,0.979969611488012,10.008868409982,1.14044036528498
"B: common treatment (e>1/2)",2000,"ZWI",1000,2026,-0.00212229083294099,0.00194666574885253,0.0615589760941132,0.00137718931861131,0.0615647800986686,1.00966307069441,0.951,0.00682634602111555,0.89462274173612,0.0381152443285866,0.983644522860803,7.70503459264797,0.877934658088753
