"set","dropped","est","se","t_treated","t_control","z_ps","se_change_pct","est_change"
"full (all 10)","",1.49489719527836,0.677917391808775,NA,NA,NA,0,0
"drop age","age",1.56261823289001,0.667227651790057,0.674398409485417,15.9041155197988,1.68276258090109,-1.57684994482831,0.067721037611651
"drop education","education",1.50973346131383,0.677276981919131,1.4166577039247,6.11461007832935,0.401052828713531,-0.0944672459184281,0.0148362660354682
"drop black","black",0.313585187542296,0.618184996795056,0.303216234913626,3.75295472411484,16.3195018325341,-8.81116132075388,-1.18131200773607
"drop hispanic","hispanic",1.498706060469,0.67730569629099,0.420277268862152,1.06148054126835,4.66327160762551,-0.0902315717483337,0.00380886519064028
"drop married","married",1.57552517537258,0.672853963158583,0.602142637970267,1.11596632203976,4.11992190958403,-0.746909389163419,0.080627980094214
"drop nodegree","nodegree",1.51089360180609,0.670938202844361,0.434954480517898,2.09255616636263,3.28180475584741,-1.02950433913372,0.0159964065277287
"drop re74k","re74k",1.53222574552476,0.674880492645723,1.62749974137037,22.8458938804182,2.19743234733163,-0.447974812233276,0.0373285502463958
"drop re75k","re75k",0.962216966813534,0.709153939597702,0.0458168873309393,34.1045252782879,4.92331359853763,4.6077218502367,-0.532680228464829
"drop u74","u74",1.30974920249004,0.663148242210514,3.18902515078579,0.880154885647971,5.95648029321423,-2.1786060922341,-0.185147992788323
"drop u75","u75",1.46666562260009,0.671378080441658,2.19170088346978,6.87639191728077,0.983902086916377,-0.964617731619066,-0.0282315726782703
